שאלה,תשובות,תשובה נכונה,מושג,פרק,
מה קובע עקרון הכרעת הרוב בדמוקרטיה?,מתוך מספר אפשרויות מתקבלת ההחלטה שבה תמכו מרבית המצביעים / המיעוט חייב לקבל את דעת הרוב גם אם היא פוגעת בזכויות יסוד / רק לרוב מותר להשתתף בתהליך קבלת ההחלטות,מתוך מספר אפשרויות מתקבלת ההחלטה שבה תמכו מרבית המצביעים,עקרון הכרעת הרוב,עקרונות הדמוקרטיה ושלטון החוק,
"מהי ""עריצות הרוב"" במדינה דמוקרטית?",מצב בו הרוב מנצל את כוחו כדי לקבל החלטות הפוגעות בזכויות המיעוט / מצב בו הרוב מסרב ללכת לבחירות / מצב בו המיעוט שולט ברוב באמצעות כוח צבאי,מצב בו הרוב מנצל את כוחו כדי לקבל החלטות הפוגעות בזכויות המיעוט,עקרון הכרעת הרוב,עקרונות הדמוקרטיה ושלטון החוק,
חברי מועצה החליטו לאסור על בני המיעוט בעיר להשתמש בבריכה העירונית. זוהי דוגמה ל...,עריצות הרוב / מימוש לגיטימי של הכרעת הרוב / עקרון הפלורליזם,עריצות הרוב,עקרון הכרעת הרוב,עקרונות הדמוקרטיה ושלטון החוק,
מהו העיקרון המנחה של הזכות לשוויון?,"התייחסות שווה לכל אדם ללא הבדל דת, גזע או מין / מתן כסף שווה לכל אזרחי המדינה ללא קשר לעבודתם / הזכות של כל אזרח לקבל הגנה משפטית בחינם","התייחסות שווה לכל אדם ללא הבדל דת, גזע או מין",הזכות לשוויון,זכויות וחובות,
"כיצד מוגדרת ""אפליה פסולה"" ביחס לזכות לשוויון?",התייחסות שונה לבני אדם מסיבה שאינה רלוונטית לנושא / מתן הקלות לנכים במבחנים / העדפת מועמדים מצטיינים לקבלה לעבודה,התייחסות שונה לבני אדם מסיבה שאינה רלוונטית לנושא,הזכות לשוויון,זכויות וחובות,
"חברה סירבה להעסיק עובדת רק בשל היותה אישה, למרות שכישוריה התאימו לתפקיד. מדובר ב...",אפליה פסולה / הבחנה מותרת / העדפה מתקנת,אפליה פסולה,הזכות לשוויון,זכויות וחובות,
"מהי ""הבחנה מותרת"" בהקשר של שוויון?",מתן יחס שונה לאנשים כאשר יש לכך סיבה מוצדקת ורלוונטית / הענקת הטבות לקבוצה מקופחת כדי לצמצם פערים / יחס שווה לכל האנשים בכל מצב ללא יוצא מן הכלל,מתן יחס שונה לאנשים כאשר יש לכך סיבה מוצדקת ורלוונטית,הבחנה מותרת,זכויות וחובות,
מתן הקלות בזמן מבחן לתלמידים עם לקויות למידה מאובחנות הוא דוגמה ל...,הבחנה מותרת / אפליה פסולה / עקרון שלטון החוק,הבחנה מותרת,הבחנה מותרת,זכויות וחובות,
מדוע מתן קצבת נכות נחשב להבחנה מותרת ולא לאפליה?,כי המגבלה הגופנית היא רלוונטית לצורך בקצבה / כי הנכים הם קבוצת מיעוט / כי כל אחד יכול להפוך לנכה,כי המגבלה הגופנית היא רלוונטית לצורך בקצבה,הבחנה מותרת,זכויות וחובות,
"מהי מטרת המדיניות של ""העדפה מתקנת""?",צמצום פערים חברתיים על ידי מתן יתרון זמני לקבוצה שקופחה בעבר / הענשת קבוצות חזקות בחברה / מתן יחס שווה לכולם באופן קבוע,צמצום פערים חברתיים על ידי מתן יתרון זמני לקבוצה שקופחה בעבר,העדפה מתקנת,זכויות וחובות,
משרד ממשלתי שומר מקומות בדרג הניהולי במיוחד עבור בני הקהילה האתיופית. זו דוגמה ל...,העדפה מתקנת / אפליה פסולה / הבחנה מותרת,העדפה מתקנת,העדפה מתקנת,זכויות וחובות,
מה ההבדל המרכזי בין העדפה מתקנת להבחנה?,"העדפה מתקנת היא זמנית ומטרתה תיקון עוול היסטורי, הבחנה היא קבועה ונובעת מצרכים רלוונטיים / אין הבדל בין המושגים / הבחנה היא רק לנכים והעדפה מתקנת היא רק לנשים","העדפה מתקנת היא זמנית ומטרתה תיקון עוול היסטורי, הבחנה היא קבועה ונובעת מצרכים רלוונטיים",העדפה מתקנת,זכויות וחובות,
"מהן ""זכויות חברתיות"" בדמוקרטיה?",זכויות המוענקות על ידי המדינה במטרה להבטיח קיום אנושי בכבוד ורווחה / זכויות טבעיות שכל אדם נולד איתן / זכויות פוליטיות המאפשרות לבחור ולהיבחר,זכויות המוענקות על ידי המדינה במטרה להבטיח קיום אנושי בכבוד ורווחה,זכויות חברתיות,זכויות וחובות,
מה ההבדל המרכזי בין זכויות אדם (טבעיות) לבין זכויות חברתיות?,"זכויות אדם הן חובה בכל דמוקרטיה, זכויות חברתיות ניתנות בהתאם למדיניות הכלכלית של המדינה / זכויות חברתיות הן מוחלטות וזכויות אדם לא / אין הבדל בין השתיים","זכויות אדם הן חובה בכל דמוקרטיה, זכויות חברתיות ניתנות בהתאם למדיניות הכלכלית של המדינה",זכויות חברתיות,זכויות וחובות,
המדינה מחוקקת חוק המבטיח טיפול רפואי לכל אזרח ללא קשר למצבו הכלכלי. איזו זכות היא מממשת?,הזכות לבריאות (טיפול רפואי) / הזכות לחיים וביטחון / הזכות לשוויון,הזכות לבריאות (טיפול רפואי),זכויות חברתיות,זכויות וחובות,
"מה קובע ""חוק השבות"" במדינת ישראל?",כל יהודי ובני משפחתו זכאים לעלות לארץ ולקבל אזרחות / רק יהודים דתיים רשאים לעלות לארץ / כל אדם שרוצה לחיות בישראל יכול לקבל אזרחות באופן אוטומטי,כל יהודי ובני משפחתו זכאים לעלות לארץ ולקבל אזרחות,חוק השבות,מאפייני המדינה היהודית,
מי נכלל בזכאות לעלייה לפי חוק השבות (תיקון 1970)?,"יהודי, ילד של יהודי, נכד של יהודי ובני זוגם / רק מי שאימו יהודייה / רק מי שנולד בישראל","יהודי, ילד של יהודי, נכד של יהודי ובני זוגם",חוק השבות,מאפייני המדינה היהודית,
מהי המטרה המרכזית של חוק השבות?,להבטיח רוב יהודי במדינת ישראל ולממש את היותה מדינת הלאום היהודי / לעודד תיירות חוץ לישראל / למנוע כניסת עובדים זרים,להבטיח רוב יהודי במדינת ישראל ולממש את היותה מדינת הלאום היהודי,חוק השבות,מאפייני המדינה היהודית,
"כיצד מוגדרת מדינת ישראל כ""מדינת לאום יהודית תרבותית""?",מדינה חילונית השואבת מהמסורת היהודית כמרכיב תרבותי ולא כהלכה מחייבת / מדינה שבה חוקי התורה הם חוקי המדינה / מדינה שבה אין שום סממן יהודי בפרהסיה,מדינה חילונית השואבת מהמסורת היהודית כמרכיב תרבותי ולא כהלכה מחייבת,מדינת לאום יהודית תרבותית,מאפייני המדינה היהודית,
"מהו המאפיין של דגם ""מדינת הלכה""?",מדינה שבה חוקי המדינה הם חוקי התורה וההלכה היהודית / מדינה שבה יש הפרדה מוחלטת בין דת למדינה / מדינה המשלבת חוקים דתיים וחילוניים באופן שווה,מדינה שבה חוקי המדינה הם חוקי התורה וההלכה היהודית,מדינת הלכה,מאפייני המדינה היהודית,
"אדם המגדיר את עצמו כ""מסורתי"" ותומך בכך שהמדינה תשמור על סמלים יהודיים מבלי לכפות מצוות, יתמוך בדגם של...",מדינה מסורתית-תרבותית / מדינת הלכה / מדינה חילונית,מדינה מסורתית-תרבותית,עמדות כלפי האופי הדתי של המדינה,דת ומדינה,
מה מסמל דגל המדינה (הפסים הכחולים והמגן דוד)?,את הטלית ואת הקשר ההיסטורי לעם היהודי / את שמי המדינה והכנרת / את הכוח הצבאי של ישראל,את הטלית ואת הקשר ההיסטורי לעם היהודי,סמלי המדינה,מאפייני המדינה היהודית,
מדוע סמל המדינה כולל את המנורה וענפי הזית?,המנורה מסמלת את המקדש וענפי הזית את השאיפה לשלום / המנורה מסמלת אור והזיתים את החקלאות בארץ / זהו סמלה של משפחת המלוכה הבריטית,המנורה מסמלת את המקדש וענפי הזית את השאיפה לשלום,סמלי המדינה,מאפייני המדינה היהודית,
"מהו מעמדו של השיר ""התקווה"" במדינת ישראל?",ההמנון הלאומי המבטא את שאיפת העם היהודי לחזור לארצו / שיר עממי שאין לו מעמד רשמי / המנון שנועד לייצג את כל תושבי המזרח התיכון,ההמנון הלאומי המבטא את שאיפת העם היהודי לחזור לארצו,סמלי המדינה,מאפייני המדינה היהודית,
כיצד מוגדר המתח בין הרוב היהודי למיעוט הערבי במדינת ישראל?,השסע הלאומי / השסע העדתי / השסע הדתי,השסע הלאומי,השסע הלאומי,הלאום היהודי והשסעים בחברה,
מהי אחת הדרכים המרכזיות להתמודדות עם השסע הלאומי בישראל?,קידום שוויון אזרחי ושילוב המיעוטים בשירות המדינה / ביטול חוק השבות / כפיית השפה העברית על כלל האוכלוסייה,קידום שוויון אזרחי ושילוב המיעוטים בשירות המדינה,השסע הלאומי,הלאום היהודי והשסעים בחברה,
מהו מוקד המחלוקת המרכזי בשסע הלאומי בישראל?,הגדרת המדינה כמדינת לאום יהודית אל מול שאיפות המיעוט הערבי / הוויכוח על חלוקת התקציב לביטחון / המחלוקת על סמכויות בתי הדין הרבניים,הגדרת המדינה כמדינת לאום יהודית אל מול שאיפות המיעוט הערבי,השסע הלאומי,הלאום היהודי והשסעים בחברה,
על מה נסוב הוויכוח המרכזי בשסע הדתי בישראל?,על מקומה של הדת במרחב הציבורי ובחקיקה / על גובה המסים המוטלים על הציבור / על הצורך בשמירה על הגבולות,על מקומה של הדת במרחב הציבורי ובחקיקה,השסע הדתי,הלאום היהודי והשסעים בחברה,
"מהו הסדר ה""סטטוס קוו"" בהקשר של השסע הדתי?",הסכם שנועד להסדיר את יחסי הדת והמדינה על בסיס המצב שהיה קיים בהקמת המדינה / חוק שקובע כי כולם חייבים לשמור שבת / הצהרה שאין דת במדינת ישראל,הסכם שנועד להסדיר את יחסי הדת והמדינה על בסיס המצב שהיה קיים בהקמת המדינה,סטטוס קוו,דת ומדינה,
איזה נושא נכלל בהסדר הסטטוס קוו המקורי?,שמירת כשרות במוסדות ציבור ומתן אוטונומיה לחינוך הדתי / חובת חבישת כיפה בכנסת / ביטול הנישואין הדתיים,שמירת כשרות במוסדות ציבור ומתן אוטונומיה לחינוך הדתי,סטטוס קוו,דת ומדינה,
מהו תפקידה המרכזי של הכנסת כרשות המחוקקת?,לחוקק חוקים המנחים את התנהלות המדינה / לבצע את החלטות הממשלה בשטח / לשפוט עבריינים שעברו על החוק,לחוקק חוקים המנחים את התנהלות המדינה,הכנסת,הרשות המחוקקת,
כיצד הכנסת ממלאת את תפקידה כרשות המפקחת והמבקרת?,"באמצעות הגשת שאילתות, דיונים בוועדות והצעות אי-אמון / על ידי פיטורי שופטים שלא פועלים כשורה / על ידי כתיבת דו""ח מבקר המדינה","באמצעות הגשת שאילתות, דיונים בוועדות והצעות אי-אמון",הכנסת,הרשות המחוקקת,
"מהי החשיבות של ""ועדות הכנסת"" בתהליך החקיקה?",הן מאפשרות דיון מעמיק ומקצועי בהצעות חוק לפני אישורן הסופי / הן אלו שקובעות את פסק הדין במשפטים פליליים / הן הגוף שבוחר את שרי הממשלה,הן מאפשרות דיון מעמיק ומקצועי בהצעות חוק לפני אישורן הסופי,הכנסת,הרשות המחוקקת,
"מהו תפקידו של ""יושב ראש הכנסת""?",ניהול ישיבות המליאה ושמירה על כבוד הכנסת / ניהול המשא ומתן המדיני של ישראל / פיקוד על משמר הכנסת בעת מלחמה,ניהול ישיבות המליאה ושמירה על כבוד הכנסת,הכנסת,הרשות המחוקקת,
כיצד נבחרת הכנסת במדינת ישראל?,"בבחירות כלליות, ארציות, יחסיות וישירות / על ידי נשיא המדינה / על ידי ועדת המינויים של השופטים","בבחירות כלליות, ארציות, יחסיות וישירות",בחירות לכנסת,הרשות המחוקקת,
"מהי הצעת ""אי-אמון"" בממשלה?",כלי פרלמנטרי המאפשר לכנסת להפיל את הממשלה אם רוב חבריה מתנגדים לה / החלטה של הממשלה להפסיק את עבודת הכנסת / בקשה של האזרחים להחליף את השלטון,כלי פרלמנטרי המאפשר לכנסת להפיל את הממשלה אם רוב חבריה מתנגדים לה,הכנסת,הרשות המחוקקת,
מהו תפקידה המרכזי של הממשלה כרשות המבצעת?,אחריות על ניהול ענייני המדינה וביצוע החוקים / חקיקת חוקי יסוד / הכרעה בסכסוכים משפטיים בין אזרחים,אחריות על ניהול ענייני המדינה וביצוע החוקים,הממשלה,הרשות המבצעת,
"מהי ""אחריות ממשלתית משותפת""?",כל שרי הממשלה נושאים באחריות להחלטות הממשלה וחייבים לתמוך בהן בפומבי / כל שר אחראי רק על המשרד שלו / הממשלה והכנסת אחראיות יחד על התקציב,כל שרי הממשלה נושאים באחריות להחלטות הממשלה וחייבים לתמוך בהן בפומבי,הממשלה,הרשות המבצעת,
שר בממשלה מתנגד להחלטה שהתקבלה בממשלה ומבקר אותה בתקשורת מבלי להתפטר. איזה עיקרון הוא מפר?,אחריות ממשלתית משותפת / אחריות מיניסטריאלית / עקרון הפרדת הרשויות,אחריות ממשלתית משותפת,הממשלה,הרשות המבצעת,
"מהי ""אחריות מיניסטריאלית"" של שר?","השר אחראי כלפי הכנסת והממשלה על כל הנעשה במשרדו, גם אם לא ידע על כך / השר אחראי רק על הפעולות שהוא ביצע בעצמו / השר אחראי על מינוי כל עובדי המדינה","השר אחראי כלפי הכנסת והממשלה על כל הנעשה במשרדו, גם אם לא ידע על כך",הממשלה,הרשות המבצעת,
מחדל חמור התרחש במשרד הבריאות עקב טעות של פקיד זוטר. מדוע השר עשוי להידרש לתת הסברים בכנסת?,בשל האחריות המיניסטריאלית שלו על משרדו / בשל האחריות הממשלתית המשותפת / כי הוא זה שביצע את הטעות באופן אישי,בשל האחריות המיניסטריאלית שלו על משרדו,הממשלה,הרשות המבצעת,
"מי רשאי להוציא ""תקנות לשעת חירום"" (תקש""ח)?",הממשלה (השרים) / נשיא המדינה / ראש האופוזיציה,הממשלה (השרים),הממשלה,הרשות המבצעת,
מהו תפקידה העיקרי של הרשות השופטת בדמוקרטיה?,להכריע בסכסוכים בין אזרחים ובינם לבין השלטון על פי החוק / להציע חוקים חדשים לכנסת / לנהל את המדיניות הכלכלית של המדינה,להכריע בסכסוכים בין אזרחים ובינם לבין השלטון על פי החוק,הרשות השופטת,הרשות השופטת,
"מהו ""עקרון אי-התלות של הרשות השופטת""?",השופטים כפופים אך ורק לחוק ואינם מושפעים מהרשות המבצעת או המחוקקת / השופטים יכולים לפעול ללא קשר לחוקי המדינה / השופטים נבחרים על ידי העם בבחירות ישירות,השופטים כפופים אך ורק לחוק ואינם מושפעים מהרשות המבצעת או המחוקקת,הרשות השופטת,הרשות השופטת,
"מהו תפקידו הייחודי של בית המשפט הגבוה לצדק (בג""ץ)?",לדון בעתירות של אזרחים נגד רשויות המדינה ומוסדותיה / לדון בערעורים על פסקי דין פליליים של בתי משפט מחוזיים / לשפוט עבירות של בגידה במולדת,לדון בעתירות של אזרחים נגד רשויות המדינה ומוסדותיה,"בג""ץ",הרשות השופטת,
"מהו תפקידו של ""השלטון המקומי"" בישראל?","ניהול ענייניה היומיומיים של העיר או המועצה (חינוך, ניקיון, תרבות) / חקיקת חוקים שחלים על כלל המדינה / ניהול יחסי החוץ של ישראל","ניהול ענייניה היומיומיים של העיר או המועצה (חינוך, ניקיון, תרבות)",שלטון מקומי,שלטון מקומי,
כיצד נבחר ראש רשות מקומית בישראל?,בבחירות ישירות על ידי תושבי הרשות / הוא ממונה על ידי שר הפנים / הוא נבחר על ידי חברי מועצת העיר בלבד,בבחירות ישירות על ידי תושבי הרשות,שלטון מקומי,שלטון מקומי,
"מהו ""חוק עזר עירוני""?",חקיקה של הרשות המקומית המיועדת להסדיר עניינים מקומיים באישור שר הפנים / חוק של הכנסת שמבטל את סמכויות העירייה / תקנה של הממשלה המחייבת את כל הרשויות,חקיקה של הרשות המקומית המיועדת להסדיר עניינים מקומיים באישור שר הפנים,שלטון מקומי,שלטון מקומי,
"מהי ההגדרה ההלכתית המקובלת לשאלה ""מיהו יהודי""?","מי שנולד לאם יהודייה או שהתגייר כהלכה / מי שמגדיר את עצמו כיהודי וחי בישראל / מי ששירת בצה""ל והוא בעל אזרחות ישראלית",מי שנולד לאם יהודייה או שהתגייר כהלכה,מיהו יהודי,דת ומדינה,
"מה קבע בג""ץ בפרשת 'רופאיזן' (האח דניאל) לגבי הגדרת יהודי בחוק השבות?",יהודי שהמיר את דתו אינו זכאי לעלות מכוח חוק השבות / כל מי שמרגיש יהודי זכאי לעלות ללא קשר לדתו / חוק השבות חל רק על יהודים דתיים,יהודי שהמיר את דתו אינו זכאי לעלות מכוח חוק השבות,מיהו יהודי,דת ומדינה,
"מהי המחלוקת המרכזית סביב הגדרת ""מיהו יהודי"" בישראל?",המתח בין ההגדרה הדתית-הלכתית לבין הגדרה לאומית-חילונית / הוויכוח האם יהודי חייב לחיות בישראל / השאלה האם יהודי רשאי להצביע בבחירות,המתח בין ההגדרה הדתית-הלכתית לבין הגדרה לאומית-חילונית,מיהו יהודי,דת ומדינה,
"מהו הסדר ""תורתו אומנותו"" (דחיית שירות)?","הסדר המאפשר לבני ישיבות לדחות את גיוסם לצה""ל כל עוד הם לומדים תורה / חוק המחייב כל בחור ישיבה לשרת כרב צבאי / תקנה המעניקה מלגת לימודים לכל חייל משוחרר","הסדר המאפשר לבני ישיבות לדחות את גיוסם לצה""ל כל עוד הם לומדים תורה",תורתו אומנותו,דת ומדינה,
"מדוע הסדר ""תורתו אומנותו"" מהווה מוקד מרכזי בשסע הדתי-חילוני?",בשל הטענה לפגיעה בעקרון השוויון בנטל השירות / כי החילונים דורשים שגם הם ילמדו בישיבות / בגלל עלות ספרי הקודש שהמדינה קונה,בשל הטענה לפגיעה בעקרון השוויון בנטל השירות,תורתו אומנותו,דת ומדינה,
כיצד השפיע הסדר דחיית השירות על החברה החרדית לאורך השנים?,הוא עיגן את חשיבות לימוד התורה כערך עליון ומרכזי בחברה זו / הוא גרם לרוב החרדים להתגייס ליחידות קרביות / הוא ביטל את ההפרדה בין חרדים לחילונים,הוא עיגן את חשיבות לימוד התורה כערך עליון ומרכזי בחברה זו,תורתו אומנותו,דת ומדינה,
"כיצד מגדיר הציבור ה""מסורתי"" בישראל את זיקתו ליהדות?","שמירה על מנהגים ומסורת מתוך בחירה, ללא מחויבות מלאה להלכה / הקפדה מוחלטת על קלה כחמורה לפי השולחן ערוך / ראיית היהדות כלאום ותרבות בלבד ללא שום קשר לדת","שמירה על מנהגים ומסורת מתוך בחירה, ללא מחויבות מלאה להלכה",קבוצות בחברה היהודית,דת ומדינה,
"מה מאפיין את הזרם ה""אורתודוקסי"" בחברה היהודית?",אמונה במחויבות מוחלטת להלכה היהודית כדרך חיים / חגיגת חגים יהודיים כאירועים לאומיים בלבד / דחיית הקשר בין ארץ ישראל לדת היהודית,אמונה במחויבות מוחלטת להלכה היהודית כדרך חיים,קבוצות בחברה היהודית,דת ומדינה,
"מהי התפיסה המרכזית של הציבור ה""חילוני"" כלפי היהדות?","היהדות היא קודם כל תרבות, היסטוריה ולאום ולא בהכרח דת מחייבת / היהדות היא דת בלבד ואין לה שום משמעות לאומית / חובה להפריד את היהודים מהחברה העולמית","היהדות היא קודם כל תרבות, היסטוריה ולאום ולא בהכרח דת מחייבת",קבוצות בחברה היהודית,דת ומדינה,
"מה מאפיין רשות מקומית מסוג ""עירייה""?","רשות המנהלת יישוב עירוני גדול, לרוב מעל 20,000 תושבים / רשות האחראית על מספר רב של קיבוצים ומושבים / גוף שלטוני הממונה ישירות על ידי צה""ל","רשות המנהלת יישוב עירוני גדול, לרוב מעל 20,000 תושבים",סוגי רשויות מקומיות,שלטון מקומי,
"מהי ""מועצה אזורית"" במבנה השלטון המקומי?","רשות המאגדת בתוכה מספר יישובים כפריים (קיבוצים, מושבים) באותו אזור / גוף האחראי על תכנון ובנייה בכל רחבי הארץ / רשות המנהלת רק ערים מעורבות","רשות המאגדת בתוכה מספר יישובים כפריים (קיבוצים, מושבים) באותו אזור",סוגי רשויות מקומיות,שלטון מקומי,
"מה ההבדל בין ""מועצה מקומית"" ל""עירייה""?",מועצה מקומית מנהלת יישוב קטן יותר שטרם הוכרז כעיר / מועצה מקומית אינה רשאית לגבות ארנונה / עירייה היא גוף פרטי ומועצה מקומית היא גוף ממשלתי,מועצה מקומית מנהלת יישוב קטן יותר שטרם הוכרז כעיר,סוגי רשויות מקומיות,שלטון מקומי,
"מה הייתה המשמעות המרכזית של החלטה 181 של האו""ם?","סיום המנדט הבריטי והקמת מדינה יהודית ומדינה ערבית בשטח ארץ ישראל / קביעה כי ארץ ישראל כולה שייכת לעם היהודי / הענקת מנדט לצבא ארה""ב לשלוט בארץ",סיום המנדט הבריטי והקמת מדינה יהודית ומדינה ערבית בשטח ארץ ישראל,החלטה 181 (תכנית החלוקה),רקע היסטורי והכרזת העצמאות,
"מתי התקבלה החלטה 181 (תכנית החלוקה) בעצרת האו""ם?","ב-29 בנובמבר 1947 (כ""ט בנובמבר) / ב-14 במאי 1948 (ה' באייר) / ב-2 בנובמבר 1917","ב-29 בנובמבר 1947 (כ""ט בנובמבר)",החלטה 181 (תכנית החלוקה),רקע היסטורי והכרזת העצמאות,
היישוב היהודי קיבל את החלטה 181 למרות שאיבד חלקים נרחבים מהארץ. מדוע?,כי ההחלטה העניקה הכרה בינלאומית בזכותו למדינה ריבונית / כי ההחלטה הבטיחה שלום נצחי עם מדינות ערב / כי הבריטים הכריחו את היהודים להסכים,כי ההחלטה העניקה הכרה בינלאומית בזכותו למדינה ריבונית,החלטה 181 (תכנית החלוקה),רקע היסטורי והכרזת העצמאות,
איזו הצדקה להקמת המדינה מתבססת על הקשר ארוך השנים בין העם היהודי לארצו?,הצדקה היסטורית / הצדקה בינלאומית / הצדקה טבעית,הצדקה היסטורית,הצדקה היסטורית,רקע היסטורי והכרזת העצמאות,
האזכור של השואה בהכרזת העצמאות משמש כאיזו הצדקה להקמת המדינה?,"הצדקה היסטורית המדגישה את הצורך בפתרון לבעיית חוסר המולדת / הצדקה בינלאומית של האו""ם / הצדקה משפטית על פי המשפט הבינלאומי",הצדקה היסטורית המדגישה את הצורך בפתרון לבעיית חוסר המולדת,הצדקה היסטורית,רקע היסטורי והכרזת העצמאות,
"המשפט ""בארץ ישראל קם העם היהודי"" פותח את הכרזת העצמאות ומהווה חלק מ...",הצדקה היסטורית / הצדקה טבעית / הצדקה דמוקרטית,הצדקה היסטורית,הצדקה היסטורית,רקע היסטורי והכרזת העצמאות,
הצהרת בלפור וכתב המנדט מוצגים בהכרזת העצמאות כ...,הצדקות בינלאומיות (משפטיות) / הצדקות היסטוריות / הצדקות טבעיות,הצדקות בינלאומיות (משפטיות),הצדקות בינלאומיות (משפטיות),רקע היסטורי והכרזת העצמאות,
"מהי ה""הצדקה הבינלאומית"" להקמת המדינה המוזכרת בהכרזה?","הכרה בזכות העם היהודי למדינה מצד מדינות וגופים בינלאומיים (בלפור, או""ם) / זכותו של כל עם להגן על עצמו בכוח הזרוע / הצורך של העולם המערבי בבסיס צבאי במזרח התיכון","הכרה בזכות העם היהודי למדינה מצד מדינות וגופים בינלאומיים (בלפור, או""ם)",הצדקות בינלאומיות (משפטיות),רקע היסטורי והכרזת העצמאות,
כיצד החלטה 181 מחזקת את הלגיטימיות של הקמת המדינה לפי ההכרזה?,היא מהווה הכרה משפטית של הקהילה הבינלאומית בזכות להקמת המדינה / היא קבעה את גבולות המדינה באופן סופי ובלתי ניתן לשינוי / היא הכריחה את הערבים להכיר בישראל,היא מהווה הכרה משפטית של הקהילה הבינלאומית בזכות להקמת המדינה,הצדקות בינלאומיות (משפטיות),רקע היסטורי והכרזת העצמאות,
הזכות של כל עם להגדרה עצמית ולמדינה ריבונית משלו היא...,הצדקה טבעית/אוניברסלית / הצדקה היסטורית / הצדקה דתית,הצדקה טבעית/אוניברסלית,הצדקה טבעית/אוניברסלית,רקע היסטורי והכרזת העצמאות,
"איזו טענה מייצגת את ה""הצדקה הטבעית"" בהכרזת העצמאות?",זכותו של העם היהודי להיות ככל עם ועם העומד ברשות עצמו במדינתו / זכותו של העם היהודי על הארץ מכוח הבטחה אלוהית / זכותו של העם היהודי על הארץ בשל עבודת האדמה,זכותו של העם היהודי להיות ככל עם ועם העומד ברשות עצמו במדינתו,הצדקה טבעית/אוניברסלית,רקע היסטורי והכרזת העצמאות,
"המשפט ""זוהי זכותו הטבעית של העם היהודי להיות ככל עם ועם"" מבטא את...",הצדקה טבעית/אוניברסלית / הצדקה בינלאומית / הצדקה בטחונית,הצדקה טבעית/אוניברסלית,הצדקה טבעית/אוניברסלית,רקע היסטורי והכרזת העצמאות,
איזה מהבאים הוא ביטוי לאופייה היהודי של המדינה בהכרזת העצמאות?,הקריאה לפתיחת שערי המדינה לכל יהודי (עלייה) / ההבטחה לשוויון זכויות גמור ללא הבדל דת וגזע / ההתחייבות לשמירה על המקומות הקדושים לכל הדתות,הקריאה לפתיחת שערי המדינה לכל יהודי (עלייה),מאפיינים יהודיים בהכרזה,רקע היסטורי והכרזת העצמאות,
"השם ""ישראל"" והקביעה כי המדינה תהיה פתוחה לעלייה יהודית הם...",מאפיינים יהודיים של המדינה / מאפיינים דמוקרטיים של המדינה / מאפיינים סוציאליסטיים של המדינה,מאפיינים יהודיים של המדינה,מאפיינים יהודיים בהכרזה,רקע היסטורי והכרזת העצמאות,
באיזה חלק של ההכרזה בא לידי ביטוי חזונם של נביאי ישראל?,"בחלק המפרט את ערכי המדינה (צדק, שלום וחירות) / בחלק המפרט את תולדות עם ישראל בגולה / בחלק הקורא לשלום עם מדינות ערב","בחלק המפרט את ערכי המדינה (צדק, שלום וחירות)",מאפיינים יהודיים בהכרזה,רקע היסטורי והכרזת העצמאות,
איזה מהביטויים הבאים מעיד על כוונת המדינה להיות דמוקרטית לפי ההכרזה?,קיום שוויון זכויות חברתי ומדיני גמור לכל אזרחיה / ההכרזה על הקמת מוסדות דת רשמיים / הקביעה כי המדינה תהיה שייכת רק ליהודים,קיום שוויון זכויות חברתי ומדיני גמור לכל אזרחיה,מאפיינים דמוקרטיים בהכרזה,רקע היסטורי והכרזת העצמאות,
"ההבטחה לחופש דת, מצפון, לשון, חינוך ותרבות היא ביטוי ל...",מאפיינים דמוקרטיים בהכרזה / מאפיינים יהודיים בהכרזה / פנייה לאומות המאוחדות,מאפיינים דמוקרטיים בהכרזה,מאפיינים דמוקרטיים בהכרזה,רקע היסטורי והכרזת העצמאות,
מהו המאפיין הדמוקרטי המופיע בהכרזה ומתייחס לזכויות פוליטיות?,הבטחה להקמת מוסדות נבחרים ומתן זכות בחירה / ההכרזה על הקמת צבא הגנה לישראל / הפנייה לערביי ישראל להשתתף בבניין המדינה,הבטחה להקמת מוסדות נבחרים ומתן זכות בחירה,מאפיינים דמוקרטיים בהכרזה,רקע היסטורי והכרזת העצמאות,
"אל מי פונה ישראל בהכרזה בבקשה ""ליטול חלק בבניין המדינה על יסוד אזרחות מלאה""?",לערביי ישראל / למדינות ערב השכנות / לעם היהודי בתפוצות,לערביי ישראל,פניות לגורמים שונים,רקע היסטורי והכרזת העצמאות,
"מה מבקשת המדינה מהאו""ם במסגרת ""הפניות לגורמים שונים"" בהכרזה?",לקבל את ישראל לתוך משפחת העמים / לשלוח כוחות צבא שיגנו על הגבולות / לממן את קליטת העולים החדשים,לקבל את ישראל לתוך משפחת העמים,פניות לגורמים שונים,רקע היסטורי והכרזת העצמאות,
לשם מה פונה המדינה לעם היהודי בתפוצות בסוף ההכרזה?,כדי שיתלכדו סביב המדינה בעלייה ובבניין / כדי שישלחו כספים למימון המלחמה / כדי שיפגינו נגד שלטון המנדט בבריטניה,כדי שיתלכדו סביב המדינה בעלייה ובבניין,פניות לגורמים שונים,רקע היסטורי והכרזת העצמאות,
איזו זכות מבטיחה לאדם שחייו האישיים לא ייחשפו ללא הסכמתו?,הזכות לפרטיות , הזכות לשם טוב , חופש הביטוי,הזכות לפרטיות,זכויות וחובות
